root_comment_id,root_emotion,total_replies,same_emotion_count,propagation_rate,reply_emotion_distribution
Ugz2iX2yuZxslunlUmZ4AaABAg,surprise,1,0,0.0,{'neutral': 1}
UgzEniV6YKs81H8EKF54AaABAg,anger,7,1,0.14285714285714285,"{'anger': 1, 'neutral': 2, 'surprise': 1, 'sadness': 1, 'disgust': 2}"
UgyPmvZxgoyTjwpLl1R4AaABAg,joy,5,0,0.0,"{'neutral': 3, 'sadness': 1, 'anger': 1}"
Ugzx8o6LLttEU3-oRNN4AaABAg,surprise,1,0,0.0,{'fear': 1}
Ugz-Y3hmrgLHFXMUojN4AaABAg,anger,1,0,0.0,{'neutral': 1}
UgyGb5vnizP9xs92M9V4AaABAg,anger,2,0,0.0,{'neutral': 2}
UgxSsFc0IgYMsyM4iuF4AaABAg,neutral,1,1,1.0,{'neutral': 1}
UgzkfxNixF2Xa3YYOih4AaABAg,joy,4,0,0.0,"{'neutral': 3, 'disgust': 1}"
UgzhkVK2yc6LEg6dLdp4AaABAg,neutral,1,0,0.0,{'surprise': 1}
UgzAF1hx55OIdz5emBF4AaABAg,neutral,1,1,1.0,{'neutral': 1}
UgwmKDue7L5zhpKNQat4AaABAg,anger,1,0,0.0,{'neutral': 1}
UgwKulARG-tDvIeBG614AaABAg,disgust,1,0,0.0,{'surprise': 1}
UgwstQQ_eSr8bECg4zF4AaABAg,neutral,2,2,1.0,{'neutral': 2}
UgxyfQR9dZ8X4ruCwS94AaABAg,anger,1,0,0.0,{'neutral': 1}
UgxDdadY-iTherqvUKV4AaABAg,fear,2,0,0.0,"{'anger': 1, 'neutral': 1}"
Ugz6fsyGR-ZT80TeuOV4AaABAg,neutral,3,0,0.0,"{'anger': 1, 'surprise': 1, 'disgust': 1}"
UgyCYV-IFrZVQyVitWd4AaABAg,fear,3,0,0.0,"{'anger': 2, 'neutral': 1}"
Ugw6Q-MurZL5y7MuwlF4AaABAg,disgust,2,0,0.0,"{'anger': 1, 'sadness': 1}"
UgzVvrSsz25DVFSUOqd4AaABAg,anger,3,1,0.3333333333333333,"{'neutral': 2, 'anger': 1}"
Ugzn4badwcf7HtPC0454AaABAg,surprise,1,0,0.0,{'neutral': 1}
Ugzss8yEUI7xNEKazmd4AaABAg,disgust,5,0,0.0,"{'fear': 1, 'surprise': 1, 'neutral': 3}"
UgzwW6LKHZQEuFgsEbV4AaABAg,sadness,1,0,0.0,{'disgust': 1}
UgxiC5TqGTfFNOLADol4AaABAg,disgust,7,1,0.14285714285714285,"{'neutral': 4, 'disgust': 1, 'anger': 1, 'surprise': 1}"
Ugz84TA29XtpPCCDYXR4AaABAg,anger,21,5,0.23809523809523808,"{'disgust': 5, 'anger': 5, 'neutral': 9, 'surprise': 2}"
UgwKi_3wGEEORKnzSfN4AaABAg,neutral,4,1,0.25,"{'anger': 1, 'neutral': 1, 'disgust': 1, 'surprise': 1}"
UgzvPckT8pZW20ikfdN4AaABAg,neutral,31,15,0.4838709677419355,"{'fear': 2, 'anger': 5, 'neutral': 15, 'joy': 1, 'disgust': 1, 'sadness': 3, 'surprise': 4}"
UgzXhji05-LoDCyMdwN4AaABAg,surprise,2,0,0.0,"{'neutral': 1, 'fear': 1}"
