root_comment_id,root_emotion,root_sentiment,total_replies,same_emotion_count,emotion_propagation_rate,same_sentiment_count,sentiment_propagation_rate,reply_emotion_distribution,reply_sentiment_distribution
UgyIq7SCoFajuigPOkF4AaABAg,disgust,negative,72,13,0.180555556,46,0.638888889,"{'disgust': 13, 'anger': 20, 'neutral': 24, 'sadness': 3, 'fear': 8, 'surprise': 4}","{'neutral': 18, 'negative': 46, 'positive': 8}"
UgxlhKrOFHgu26iiLwN4AaABAg,fear,negative,4,2,0.5,0,0,"{'neutral': 2, 'fear': 2}","{'positive': 2, 'neutral': 2}"
Ugz-DM3lULTak-tugih4AaABAg,neutral,neutral,4,4,1,3,0.75,{'neutral': 4},"{'neutral': 3, 'positive': 1}"
Ugxrp4zSdQUAmgcgcdF4AaABAg,neutral,neutral,1,1,1,1,1,{'neutral': 1},{'neutral': 1}
UgxcjerUBYWrrK-BHFp4AaABAg,surprise,neutral,1,0,0,0,0,{'neutral': 1},{'positive': 1}
Ugw_mee3GY-Qaf-2Fbx4AaABAg,anger,negative,1,0,0,1,1,{'sadness': 1},{'negative': 1}
Ugy0oXr7otysC9kcdz54AaABAg,neutral,negative,4,3,0.75,0,0,"{'neutral': 3, 'fear': 1}",{'neutral': 4}
UgxMT8eg5WfvFzdToZh4AaABAg,fear,positive,1,0,0,0,0,{'neutral': 1},{'neutral': 1}
Ugx2kTlRvigoMWg3mDl4AaABAg,neutral,positive,1,1,1,0,0,{'neutral': 1},{'neutral': 1}
UgwtDgzZk3FyTKdWDR54AaABAg,joy,positive,4,0,0,2,0.5,"{'neutral': 3, 'sadness': 1}","{'neutral': 2, 'positive': 2}"
UgzH3x24zn6M7vUQ5oh4AaABAg,disgust,negative,1,0,0,1,1,{'anger': 1},{'negative': 1}
Ugwt6ErzltUJBl8mVNR4AaABAg,anger,negative,1,0,0,0,0,{'neutral': 1},{'neutral': 1}
UgzeL27ZKDitF_n6ndp4AaABAg,anger,positive,2,1,0.5,1,0.5,"{'fear': 1, 'anger': 1}","{'negative': 1, 'positive': 1}"
UgwhNfnjDvvDswjtBpV4AaABAg,sadness,negative,2,0,0,2,1,{'anger': 2},{'negative': 2}
UgyvfOH4K9WlvBds1sJ4AaABAg,joy,positive,9,0,0,0,0,"{'neutral': 5, 'anger': 2, 'fear': 1, 'surprise': 1}","{'negative': 6, 'neutral': 3}"
UgxsP7nh8gmguZ7Bx014AaABAg,neutral,neutral,1,0,0,0,0,{'anger': 1},{'negative': 1}
Ugy5h9_VajeG9Gv5D_p4AaABAg,fear,neutral,1,0,0,0,0,{'anger': 1},{'negative': 1}
UgzFGASUWIjp1Ua7VRZ4AaABAg,anger,negative,1,0,0,1,1,{'neutral': 1},{'negative': 1}
Ugx_08-hMfgPaYRDhXB4AaABAg,neutral,positive,1,0,0,1,1,{'surprise': 1},{'positive': 1}
UgwF3Zjdphb6fN98GcZ4AaABAg,neutral,neutral,2,1,0.5,1,0.5,"{'anger': 1, 'neutral': 1}","{'negative': 1, 'neutral': 1}"
UgyR87XDFyCtj7kMgNJ4AaABAg,anger,negative,2,0,0,2,1,{'neutral': 2},{'negative': 2}
UgwyviXxIo8cstJ4uFN4AaABAg,fear,negative,1,0,0,1,1,{'neutral': 1},{'negative': 1}
Ugz7zFZ4OQTJklqi75h4AaABAg,sadness,negative,2,0,0,1,0.5,"{'anger': 1, 'neutral': 1}","{'negative': 1, 'neutral': 1}"
UgwSFXCYLADT7Ftj3SR4AaABAg,sadness,positive,1,0,0,1,1,{'neutral': 1},{'positive': 1}
UgwaCRiORmCq8iUTOf94AaABAg,neutral,negative,1,1,1,1,1,{'neutral': 1},{'negative': 1}
UgxLcqEd7_8bZy1Ra5F4AaABAg,neutral,positive,2,1,0.5,0,0,"{'neutral': 1, 'anger': 1}","{'neutral': 1, 'negative': 1}"
Ugzr6rwSP9R3lvdnTRF4AaABAg,neutral,positive,2,2,1,1,0.5,{'neutral': 2},"{'neutral': 1, 'positive': 1}"
Ugy07ppvapBNhsnnQDF4AaABAg,fear,positive,2,0,0,1,0.5,{'neutral': 2},"{'positive': 1, 'neutral': 1}"
UgyLBqfb3-CJDkuAE-B4AaABAg,neutral,neutral,1,1,1,0,0,{'neutral': 1},{'negative': 1}
UgwP8xCdxAGfL9yMvCl4AaABAg,anger,negative,6,3,0.5,3,0.5,"{'anger': 3, 'neutral': 3}","{'negative': 3, 'neutral': 3}"
UgyYt1iQ2PM6C-hhQn94AaABAg,fear,negative,1,0,0,0,0,{'neutral': 1},{'positive': 1}
Ugxw5IUqYLu4QE_sMgR4AaABAg,fear,negative,12,0,0,6,0.5,"{'anger': 6, 'neutral': 3, 'sadness': 1, 'disgust': 2}","{'positive': 2, 'neutral': 4, 'negative': 6}"
Ugye0t8BQ3f9L23xUyF4AaABAg,disgust,positive,1,0,0,1,1,{'neutral': 1},{'positive': 1}
Ugx-DYeDk7nfEQ10ElB4AaABAg,fear,negative,2,0,0,1,0.5,{'neutral': 2},"{'negative': 1, 'neutral': 1}"
Ugz9ZFOqbsHtOjWo6mN4AaABAg,anger,negative,4,1,0.25,1,0.25,"{'surprise': 1, 'neutral': 2, 'anger': 1}","{'neutral': 3, 'negative': 1}"
UgwDWvP25lkfBSvATGN4AaABAg,sadness,positive,1,0,0,0,0,{'neutral': 1},{'negative': 1}
Ugze2YaUqZaDM6_EKKl4AaABAg,neutral,negative,1,0,0,1,1,{'disgust': 1},{'negative': 1}
Ugy6MTacstv_pInLl-p4AaABAg,fear,negative,1,0,0,0,0,{'disgust': 1},{'neutral': 1}
Ugx-Oh6oQmQF7Dnrqlt4AaABAg,fear,negative,3,0,0,1,0.333333333,"{'surprise': 1, 'neutral': 1, 'disgust': 1}","{'neutral': 1, 'positive': 1, 'negative': 1}"
UgxXt3eA9ECHmmIgBdl4AaABAg,disgust,negative,5,2,0.4,2,0.4,"{'surprise': 1, 'neutral': 2, 'disgust': 2}","{'negative': 2, 'neutral': 2, 'positive': 1}"
UgzcJ1qEX1hyY01NIC14AaABAg,surprise,negative,1,0,0,1,1,{'disgust': 1},{'negative': 1}
UgxWHFS5IOrt40kkq2d4AaABAg,disgust,positive,1,0,0,0,0,{'sadness': 1},{'negative': 1}
UgwndFd3HNUS8UXDMnh4AaABAg,anger,positive,1,0,0,0,0,{'neutral': 1},{'neutral': 1}
Ugzv4jlDjCWS1cqh57B4AaABAg,sadness,neutral,2,0,0,0,0,"{'joy': 1, 'disgust': 1}",{'positive': 2}
Ugwk_RyPaIYeUpJB7Ip4AaABAg,surprise,negative,1,0,0,1,1,{'sadness': 1},{'negative': 1}
UgzXS9fGnL6fVFlj4hl4AaABAg,disgust,negative,6,0,0,5,0.833333333,"{'surprise': 1, 'neutral': 3, 'sadness': 1, 'fear': 1}","{'negative': 5, 'neutral': 1}"
Ugy7yfZ11T5SnTKvgu94AaABAg,anger,negative,16,3,0.1875,5,0.3125,"{'neutral': 8, 'surprise': 2, 'disgust': 2, 'anger': 3, 'sadness': 1}","{'neutral': 7, 'positive': 4, 'negative': 5}"
Ugzbedshc8EzpJPGMAN4AaABAg,sadness,negative,1,0,0,1,1,{'anger': 1},{'negative': 1}
Ugw28l1Gdm2bl30Yf7h4AaABAg,neutral,neutral,1,0,0,0,0,{'anger': 1},{'negative': 1}
UgwGTKqwXktc9xnBmqZ4AaABAg,neutral,positive,2,2,1,2,1,{'neutral': 2},{'positive': 2}
Ugx-XGoyr0pDQspKtkZ4AaABAg,surprise,neutral,1,0,0,1,1,{'neutral': 1},{'neutral': 1}
UgylpQ8jF28w1yuu-OF4AaABAg,sadness,negative,1,0,0,1,1,{'anger': 1},{'negative': 1}
UgzQUuTeBNuZPOq-EcV4AaABAg,fear,negative,1,0,0,0,0,{'neutral': 1},{'neutral': 1}
UgxVsngXywdLYXISARp4AaABAg,anger,negative,1,0,0,0,0,{'joy': 1},{'neutral': 1}
UgzR-h30erzdklmXdKd4AaABAg,anger,positive,1,1,1,0,0,{'anger': 1},{'negative': 1}
Ugzk-oJMpR3Wp2SJH0t4AaABAg,neutral,neutral,1,0,0,1,1,{'anger': 1},{'neutral': 1}
UgxhWF_qWvOuM0KQLHN4AaABAg,anger,negative,1,1,1,1,1,{'anger': 1},{'negative': 1}
UgxUa1eFSCoguXtd5IB4AaABAg,anger,neutral,2,0,0,0,0,{'neutral': 2},{'negative': 2}
UgzlwfTdVIgmBLg34IN4AaABAg,neutral,neutral,1,1,1,1,1,{'neutral': 1},{'neutral': 1}
UgxEu6kip8Si93HoK7R4AaABAg,sadness,negative,13,2,0.153846154,2,0.153846154,"{'sadness': 2, 'neutral': 8, 'disgust': 1, 'fear': 1, 'anger': 1}","{'positive': 8, 'neutral': 3, 'negative': 2}"
UgzOyrR1W0LK7cXoSrF4AaABAg,fear,negative,1,0,0,0,0,{'neutral': 1},{'positive': 1}
UgxxYBa4hqoPIbjZW7t4AaABAg,surprise,neutral,1,0,0,0,0,{'disgust': 1},{'negative': 1}
Ugx_EABCE1YNh727DS94AaABAg,neutral,positive,30,9,0.3,8,0.266666667,"{'joy': 2, 'surprise': 5, 'sadness': 1, 'neutral': 9, 'anger': 8, 'disgust': 1, 'fear': 4}","{'positive': 8, 'neutral': 8, 'negative': 14}"
UgzDDi1YNSAbCEjlQxR4AaABAg,sadness,neutral,1,0,0,1,1,{'neutral': 1},{'neutral': 1}
Ugz39OSwKrQ5hjEtCfZ4AaABAg,neutral,positive,1,0,0,0,0,{'surprise': 1},{'neutral': 1}
UgxsLdlyQExhiIcHe414AaABAg,neutral,negative,1,0,0,1,1,{'anger': 1},{'negative': 1}
UgyZuLhnyTy2adlMr_B4AaABAg,disgust,negative,1,0,0,0,0,{'neutral': 1},{'positive': 1}
Ugxd173GniKGiDXJexp4AaABAg,neutral,negative,1,0,0,0,0,{'anger': 1},{'positive': 1}
Ugzd-MINiSbTBN0haPN4AaABAg,neutral,negative,1,1,1,1,1,{'neutral': 1},{'negative': 1}
Ugx1ml2D-_kS6dz_tVh4AaABAg,neutral,negative,6,3,0.5,0,0,"{'anger': 1, 'surprise': 2, 'neutral': 3}","{'positive': 5, 'neutral': 1}"
Ugyqdsph-RyGeV1XcK54AaABAg,neutral,negative,2,1,0.5,1,0.5,"{'neutral': 1, 'anger': 1}","{'positive': 1, 'negative': 1}"
UgwGc-pS-CAWlyZfjqh4AaABAg,anger,negative,2,1,0.5,0,0,"{'neutral': 1, 'anger': 1}","{'neutral': 1, 'positive': 1}"
Ugz49mlL_TtyAqbvyuN4AaABAg,disgust,positive,3,0,0,3,1,"{'sadness': 1, 'neutral': 2}",{'positive': 3}
UgwArKtcoF8O7uXSCL14AaABAg,neutral,neutral,1,0,0,0,0,{'anger': 1},{'negative': 1}
UgyauWPS2Srty7eVcAZ4AaABAg,sadness,neutral,1,0,0,1,1,{'neutral': 1},{'neutral': 1}
Ugwxrt_ePnk_F4SlUld4AaABAg,neutral,neutral,3,1,0.333333333,1,0.333333333,"{'sadness': 1, 'neutral': 1, 'anger': 1}","{'negative': 1, 'neutral': 1, 'positive': 1}"
UgzaINz4U2fl0uM58kR4AaABAg,fear,negative,1,0,0,1,1,{'disgust': 1},{'negative': 1}
Ugx3uCo9LT6TgvgAhER4AaABAg,anger,negative,14,5,0.357142857,8,0.571428571,"{'fear': 1, 'anger': 5, 'neutral': 5, 'disgust': 3}","{'negative': 8, 'positive': 5, 'neutral': 1}"
UgyKeCGsJMzj9y8_XD54AaABAg,anger,negative,3,1,0.333333333,2,0.666666667,"{'neutral': 1, 'fear': 1, 'anger': 1}","{'neutral': 1, 'negative': 2}"
Ugxwg34yLiEq1cTGWQt4AaABAg,anger,negative,1,0,0,0,0,{'disgust': 1},{'positive': 1}
Ugw7QXXXoo4xG4gd4o14AaABAg,anger,positive,2,1,0.5,1,0.5,"{'neutral': 1, 'anger': 1}","{'positive': 1, 'neutral': 1}"
Ugyegch9CQEiLQMBGdd4AaABAg,neutral,positive,1,0,0,0,0,{'anger': 1},{'neutral': 1}
Ugzj-fhwLueWgHVfvrx4AaABAg,neutral,neutral,15,7,0.466666667,5,0.333333333,"{'neutral': 7, 'fear': 2, 'joy': 1, 'anger': 3, 'disgust': 1, 'surprise': 1}","{'neutral': 5, 'negative': 7, 'positive': 3}"
UgzetvcOrPBfMB7tus54AaABAg,anger,negative,2,0,0,0,0,"{'neutral': 1, 'disgust': 1}",{'positive': 2}
UgxcDU0etwFQ5mplhGN4AaABAg,anger,negative,2,0,0,0,0,"{'sadness': 1, 'surprise': 1}","{'positive': 1, 'neutral': 1}"
UgzAILiVatSyb-uPoTh4AaABAg,sadness,positive,2,0,0,0,0,"{'anger': 1, 'neutral': 1}",{'negative': 2}
Ugyrge03n5tzsGgRw614AaABAg,sadness,positive,1,0,0,0,0,{'anger': 1},{'negative': 1}
UgxBkcotcErz4kjXZet4AaABAg,fear,negative,17,1,0.058823529,11,0.647058824,"{'disgust': 2, 'surprise': 3, 'neutral': 2, 'anger': 8, 'fear': 1, 'joy': 1}","{'negative': 11, 'neutral': 4, 'positive': 2}"
UgxMTp6XDAXpfrkxphR4AaABAg,fear,negative,1,0,0,1,1,{'sadness': 1},{'negative': 1}
UgwrOkHxjT9G8FoujP54AaABAg,disgust,positive,27,3,0.111111111,12,0.444444444,"{'neutral': 12, 'disgust': 3, 'anger': 6, 'joy': 1, 'fear': 2, 'sadness': 2, 'surprise': 1}","{'positive': 12, 'negative': 13, 'neutral': 2}"
UgxVWH0CKlhxAwpjaUl4AaABAg,neutral,positive,1,0,0,0,0,{'surprise': 1},{'negative': 1}
UgzoOqJ4m8DG8j-en6N4AaABAg,disgust,negative,1,0,0,0,0,{'neutral': 1},{'positive': 1}
Ugz7O6hNQqgmBzpUxld4AaABAg,surprise,negative,3,0,0,1,0.333333333,"{'anger': 1, 'disgust': 1, 'neutral': 1}","{'neutral': 2, 'negative': 1}"
Ugyxh2Xi5lWdgxbuJXR4AaABAg,neutral,positive,1,0,0,0,0,{'disgust': 1},{'negative': 1}
UgyG6SZLRfEAsLOp6WJ4AaABAg,neutral,neutral,1,1,1,0,0,{'neutral': 1},{'positive': 1}
UgwSbVbL59jNuq8Uvnt4AaABAg,surprise,neutral,3,0,0,1,0.333333333,"{'fear': 2, 'joy': 1}","{'neutral': 1, 'negative': 1, 'positive': 1}"
UgyGicG3gO0z-QsoL-V4AaABAg,anger,negative,1,1,1,1,1,{'anger': 1},{'negative': 1}
UgxdzLhXm-B-qaJ85AN4AaABAg,anger,negative,1,0,0,1,1,{'sadness': 1},{'negative': 1}
UgymIXSJND0evne9VOR4AaABAg,fear,negative,1,1,1,1,1,{'fear': 1},{'negative': 1}
UgwhIzdVmhmCEHnI5554AaABAg,surprise,neutral,1,0,0,0,0,{'fear': 1},{'positive': 1}
UgwmzjlrGwuQ4SVou2d4AaABAg,anger,negative,1,0,0,1,1,{'sadness': 1},{'negative': 1}
Ugy0UwM2Npw-Q1cQKK54AaABAg,surprise,positive,2,0,0,2,1,{'anger': 2},{'positive': 2}
UgwieYShQiOSXGQaLuB4AaABAg,fear,negative,1,0,0,0,0,{'neutral': 1},{'neutral': 1}
UgxgkJPD6orEaZqqlgt4AaABAg,sadness,positive,1,0,0,1,1,{'joy': 1},{'positive': 1}
UgzOCcEnleQuA4bzrSt4AaABAg,fear,negative,1,0,0,1,1,{'disgust': 1},{'negative': 1}
Ugyr35bu6NTVeN2Rtw94AaABAg,sadness,negative,1,0,0,1,1,{'neutral': 1},{'negative': 1}
